mirror_id,x_m,y_m,radius_to_tower_m,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,average_output_power_kw,original_mirror_id,ring_index,group,mirror_width_m,mirror_height_m,installation_height_m,mirror_area_m2
290,105.10633172452195,-31.692655790871783,183.24729724460596,0.7920041279091378,0.903926715460083,0.9872592592592594,0.9703639044172259,0.9938151041666666,32.2499251852622,290,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
291,117.78909217737902,-41.42448016842127,183.24729724460596,0.7874509943497074,0.896210504189815,0.9894074074074074,0.9703639044172259,0.99375,32.05742047805126,291,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
292,129.5754065157678,-52.22464742345545,183.24729724460596,0.7788504219797256,0.8875892672497077,0.9877777777777776,0.9703639044172259,0.9934244791666667,31.726195355346555,292,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
293,140.37557377080202,-64.01096176184426,183.24729724460596,0.768096664376282,0.8781106428316896,0.9853333333333333,0.9703639044172259,0.9926432291666667,31.312269857120118,293,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
294,150.10739814835148,-76.69372221470132,183.24729724460593,0.7581478787559174,0.8678285507332569,0.9855555555555554,0.9703639044172259,0.9925130208333334,30.918980306800954,294,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
295,158.6968145886669,-90.1764053169203,183.24729724460596,0.7488094359725158,0.8568033832265668,0.9866666666666667,0.9703639044172259,0.99296875,30.54968741011839,295,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
296,166.07845244620603,-104.35639970902666,183.24729724460596,0.7371295592640893,0.8451021920050883,0.9858518518518519,0.9703639044172259,0.9929036458333333,30.098643802744558,296,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
297,172.19613299971812,-119.12578707158173,183.24729724460593,0.72415646152376,0.832798860928298,0.9840740740740741,0.9703639044172259,0.9923828125,29.59678216203985,297,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
298,177.0032970062345,-134.37216344875657,183.24729724460596,0.7110340966650461,0.8199742523929827,0.9823703703703704,0.9703639044172259,0.991796875,29.087016680759387,298,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
299,180.46335904502058,-149.97949471030714,183.24729724460596,0.7016467489893619,0.806716312811216,0.9848888888888888,0.9703639044172259,0.991796875,28.700721881875165,299,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
300,182.54998595471858,-165.82899964136877,183.24729724460596,0.6928363098090227,0.7931201189433584,0.989111111111111,0.9703639044172259,0.9912760416666667,28.325976433482847,300,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
301,183.24729724460596,-181.8000539392233,183.24729724460596,0.6835247341087364,0.7792878399056457,0.9928148148148149,0.9703639044172259,0.9908203125,27.939174532279832,301,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
302,182.54998595471858,-197.77110823707778,183.24729724460593,0.6743957292079791,0.7653285766355828,0.9965925925925927,0.9703639044172259,0.991015625,27.55614788077529,302,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
303,180.46335904502058,-213.6206131681394,183.24729724460596,0.6639536757240875,0.7513580176592393,0.9986666666666666,0.9703639044172259,0.9913411458333333,27.132176699664914,303,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
304,177.00329700623453,-229.22794442969,183.24729724460596,0.6512226808441594,0.7374978137315507,0.9979259259259259,0.9703639044172259,0.9909505208333333,26.629628072175194,304,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
305,172.19613299971815,-244.4743208068648,183.24729724460596,0.6386428522633149,0.7238745246009066,0.9971851851851852,0.9703639044172259,0.9902994791666667,26.136559256952022,305,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
306,166.07845244620606,-259.2437081694199,183.24729724460596,0.6265310702955197,0.7106179396722111,0.9971111111111112,0.9703639044172259,0.98984375,25.66624204682226,306,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
307,158.69681458866694,-273.4237025615262,183.24729724460596,0.6130319744173746,0.6978585529305583,0.9947407407407407,0.9703639044172259,0.9902994791666667,25.151456442107424,307,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
308,150.10739814835148,-286.90638566374525,183.24729724460593,0.5998978444263152,0.6857240433265731,0.9916296296296296,0.9703639044172259,0.9899739583333333,24.647264373320702,308,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
309,140.37557377080202,-299.5891461166023,183.24729724460596,0.5877650602285569,0.6743348525201571,0.9885925925925926,0.9703639044172259,0.9895833333333334,24.18319461770486,309,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
310,129.57540651576784,-311.37546045499107,183.24729724460596,0.5779715469462129,0.6637993842865857,0.9875555555555556,0.9703639044172259,0.9893880208333333,23.80154311492482,310,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
311,117.78909217737906,-322.1756277100253,183.247297244606,0.5719308285215239,0.6542098197992235,0.9917777777777778,0.9703639044172259,0.9881510416666667,23.544344129241292,311,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
312,105.10633172452192,-331.9074520875748,183.24729724460596,0.569871139548922,0.6456396921630133,1.0,0.9703639044172259,0.9892578125,23.422918550158506,312,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
313,-105.10633172452191,-331.9074520875748,183.24729724460596,0.5709087693186095,0.6456396921630131,1.0,0.9703639044172259,0.9909505208333333,23.469118416386994,313,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
314,-117.78909217737896,-322.17562771002537,183.24729724460596,0.5726880728439817,0.6542098197992235,0.9917777777777778,0.9703639044172259,0.989453125,23.57817325921859,314,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
315,-129.5754065157678,-311.3754604549911,183.24729724460596,0.577771534522146,0.6637993842865858,0.9875555555555556,0.9703639044172259,0.9885416666666667,23.797030536031492,315,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
316,-140.375573770802,-299.58914611660236,183.24729724460596,0.5873991959611902,0.6743348525201571,0.9885925925925926,0.9703639044172259,0.9884765625,24.16964414833306,316,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
317,-150.10739814835156,-286.90638566374514,183.24729724460596,0.6003115831016904,0.6857240433265733,0.9916296296296296,0.9703639044172259,0.9900390625,24.666668807867442,317,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
318,-158.69681458866688,-273.42370256152634,183.24729724460596,0.6137456691839603,0.6978585529305584,0.9947407407407407,0.9703639044172259,0.991015625,25.182566641854198,318,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
319,-166.078452446206,-259.24370816942,183.24729724460596,0.6279323319678962,0.7106179396722111,0.9971111111111112,0.9703639044172259,0.9919921875,25.725003415381313,319,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
320,-172.19613299971815,-244.4743208068648,183.24729724460596,0.6392337778617629,0.7238745246009065,0.9971851851851852,0.9703639044172259,0.9908203125,26.161651603473658,320,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
321,-177.00329700623453,-229.22794442968996,183.24729724460596,0.6515586333905758,0.7374978137315508,0.9979259259259259,0.9703639044172259,0.9913411458333333,26.644110196457646,321,5,2,6.746757379733026,6.228727007317101,3.310585252215359,42.023709902959055
