mirror_id,original_campo_mirror_id,ring_index,campo_zone,zone_row_index,normalized_zone_row,azimuth_rad,centered_azimuth_feature,nominal_ring_count,actual_ring_count,mirror_width_m,mirror_height_m,x_m,y_m,z_m
1202,1202,20,2,8,0.5,-0.174532925199433,0.178672859237073,144,51,6.673025766605736,6.160656664168466,-67.68616272510765,202.0672501633655,5.035585252215359
1203,1203,20,2,8,0.5,-0.1308996938995757,0.18530996759867524,144,51,6.673025766605736,6.160656664168466,-50.87768386168134,204.6543224990698,5.035585252215359
1204,1204,20,2,8,0.5,-0.08726646259971663,0.19005980431661051,144,51,6.673025766605736,6.160656664168466,-33.97235643532512,206.50575696459305,5.035585252215359
1205,1205,20,2,8,0.5,-0.04363323129985843,0.19291332780672277,144,51,6.673025766605736,6.160656664168466,-17.00236069763208,207.6180292492013,5.035585252215359
1206,1206,21,2,9,0.5625,0.02181661564992912,0.1727030770285235,144,48,6.664689695527328,6.1529606543464785,8.833874739860045,223.05069374523106,5.132460252215359
1207,1207,21,2,9,0.5625,0.06544984694978737,0.17079997318721785,144,48,6.664689695527328,6.1529606543464785,26.484808436928194,222.2800373368014,5.132460252215359
1208,1208,21,2,9,0.5625,0.10908307824964561,0.166997388170934,144,48,6.664689695527328,6.1529606543464785,44.08532679583855,220.74019150821687,5.132460252215359
1209,1209,21,2,9,0.5625,0.15271630954950383,0.16130256041637503,144,48,6.664689695527328,6.1529606543464785,61.60192622954684,218.4340874435312,5.132460252215359
1210,1210,21,2,9,0.5625,0.19634954084936204,0.1537263303518448,144,48,6.664689695527328,6.1529606543464785,79.00126289545258,215.36611494290196,5.132460252215359
1211,1211,21,2,9,0.5625,0.2399827721492203,0.1442831197618758,144,48,6.664689695527328,6.1529606543464785,96.2502161672986,211.54211406635625,5.132460252215359
1212,1212,21,2,9,0.5625,0.2836160034490785,0.13299090433454308,144,48,6.664689695527328,6.1529606543464785,113.31595168216548,206.96936401690454,5.132460252215359
1213,1213,21,2,9,0.5625,0.32724923474893675,0.11987117944372006,144,48,6.664689695527328,6.1529606543464785,130.1659838425477,201.6565692841641,5.132460252215359
