mirror_id,x_m,y_m,radius_to_tower_m,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,average_output_power_kw,original_campo_mirror_id,ring_index,campo_zone,zone_row_index,normalized_zone_row,centered_azimuth_feature,mirror_width_m,mirror_height_m,installation_height_m,mirror_area_m2
831,-213.88982127560064,32.089767336377236,302.4858861015117,0.7086050901945762,0.8649193986636351,0.9472592592592591,0.9583012037713634,0.9799479166666667,28.668583020274745,831,14,2,2,0.125,0.06162296182760996,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
832,-204.35650259212733,41.21593458834971,302.4858861015117,0.7143298907305838,0.8697677548579424,0.9493333333333333,0.9583012037713634,0.9802083333333333,28.883662224473007,832,14,2,2,0.125,0.09179351745118647,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
833,-194.43417969110558,49.9175782307598,302.4858861015117,0.7167594849183225,0.8743712183405762,0.9477777777777779,0.9583012037713634,0.9803385416666667,28.98188446649891,833,14,2,2,0.125,0.12056062376004062,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
834,-184.14174027812544,58.17813419036506,302.4858861015117,0.7201980433727438,0.8787239639592346,0.9478518518518517,0.9583012037713634,0.9806640625,29.123093692263925,834,14,2,2,0.125,0.14786952093229766,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
835,-173.49877659659364,65.98187802939708,302.4858861015117,0.7228554810997408,0.8828205652037873,0.9478518518518521,0.9583012037713634,0.9804036458333333,29.227454828325538,835,14,2,2,0.125,0.17366822493005418,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
836,-162.52554813278408,73.31395487792261,302.4858861015117,0.7263048821272305,0.886655985717853,0.9483703703703703,0.9583012037713634,0.98046875,29.356821092143605,836,14,2,2,0.125,0.19790762645394866,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
837,-151.24294305075574,80.16040771093213,302.4858861015117,0.7288460993634401,0.8902255713048363,0.9481481481481483,0.9583012037713634,0.9803385416666667,29.45588856652812,837,14,2,2,0.125,0.22054158442550154,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
838,-139.67243843054362,86.50820391633118,302.4858861015117,0.7327791830598136,0.893525042454458,0.9500000000000001,0.9583012037713634,0.9801432291666666,29.60360370606529,838,14,2,2,0.125,0.2415270138192841,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
839,-127.83605938531625,92.34526010325789,302.4858861015117,0.7368359809244247,0.8965504874088307,0.9528148148148149,0.9583012037713634,0.9794921875,29.7511402862629,839,14,2,2,0.125,0.26082396767771243,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
840,-115.7563371353223,97.66046510350361,302.4858861015117,0.7393189748507664,0.899298355781145,0.9531851851851852,0.9583012037713634,0.9795572916666667,29.852622501179884,840,14,2,2,0.125,0.27839571315234923,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
841,-103.4562661184309,102.44370112225403,302.4858861015117,0.7420929334856401,0.9017654527350263,0.954,0.9583012037713634,0.9796875,29.973794090157032,841,14,2,2,0.125,0.29420880142697114,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
842,-90.95926021891354,106.68586299788592,302.4858861015117,0.7437497945304193,0.9039489337286264,0.9538518518518515,0.9583012037713634,0.9796223958333333,30.052637045653512,842,14,2,2,0.125,0.30823313138928965,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
843,-78.2891081977831,110.37887553416039,302.4858861015117,0.7482672681155987,0.9058462998243715,0.9576296296296295,0.9583012037713634,0.9793619791666667,30.2167173948449,843,14,2,2,0.125,0.32044200693013103,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
844,-65.46992840953615,113.51570887181754,302.4858861015117,0.7485306402006935,0.9074553935630669,0.9562222222222222,0.9583012037713634,0.9792317708333333,30.211971235186834,844,14,2,2,0.125,0.3308121877609961,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
845,-52.526122891494175,116.09039187031317,302.4858861015117,0.7477852586672582,0.9087743953994933,0.9543703703703704,0.9583012037713634,0.9786458333333333,30.177913141415853,845,14,2,2,0.125,0.33932393365327074,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
846,-39.482330913138846,118.09802347422414,302.4858861015117,0.7509740148057314,0.9098018206957814,0.9568888888888888,0.9583012037713634,0.9787109375,30.284720115120063,846,14,2,2,0.125,0.345961042014873,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
847,-26.36338207386083,119.53478204268629,302.4858861015117,0.7525998951974546,0.9105365172685153,0.9574814814814815,0.9583012037713634,0.979296875,30.347354936500434,847,14,2,2,0.125,0.35071087873280826,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
848,-13.194249038408802,120.39793262410439,302.4858861015117,0.7528378877014524,0.9109776634856578,0.9580740740740741,0.9583012037713634,0.978515625,30.350844445290946,848,14,2,2,0.125,0.3535644022229205,6.7232616087831545,6.207035291602996,4.454335252215358,41.73152208039658
849,6.90664680251784,134.72708781149765,316.60248456848177,0.7655035109644853,0.909537863210469,0.9773333333333327,0.9568705832922572,0.978125,30.791222405624925,849,15,2,3,0.1875,0.3282057934554261,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
850,20.706793212816784,134.12456040694843,316.60248456848166,0.7648582895057162,0.9092421229533133,0.9771851851851848,0.9568705832922572,0.9778645833333334,30.76660502585448,850,15,2,3,0.1875,0.32630268961412046,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
851,34.46752306533794,132.92065254301008,316.6024845684817,0.7638921464511909,0.9086509700034379,0.9765185185185179,0.9568705832922572,0.9780598958333333,30.733902353205316,851,15,2,3,0.1875,0.3225001045978366,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
852,48.162642028698286,131.1176559267272,316.6024845684817,0.76319566537966,0.9077650600392327,0.9759259259259253,0.9568705832922572,0.9787760416666667,30.703500182840422,852,15,2,3,0.1875,0.31680527684327764,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
853,61.76608066557137,128.7190026646345,316.6024845684817,0.7580257483960816,0.9065853779533585,0.9709629629629624,0.9568705832922572,0.9786458333333333,30.504985701222605,853,15,2,3,0.1875,0.3092290467787474,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
854,75.25194405734302,125.72925872954693,316.60248456848177,0.755166400904695,0.9051132395063185,0.9691851851851847,0.9568705832922572,0.9785807291666667,30.399724331408457,854,15,2,3,0.1875,0.2997858361887784,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
855,88.59456109656061,122.15411526897083,316.6024845684817,0.7523592577182299,0.9033502935367946,0.9678518518518512,0.9568705832922572,0.9784505208333333,30.299628259697208,855,15,2,3,0.1875,0.2884936207614457,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
856,101.7685333533452,118.00037777168131,316.6024845684817,0.7520519927111096,0.9012985247330445,0.9697777777777771,0.9568705832922572,0.9783203125,30.28324939729179,856,15,2,3,0.1875,0.27537389587062266,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
857,114.74878342274641,113.27595311308744,316.6024845684817,0.749312493524817,0.8989602569701278,0.9690370370370364,0.9568705832922572,0.9781901041666666,30.180233023869857,857,15,2,3,0.1875,0.26045163565831553,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
858,127.51060266100794,107.98983450404569,316.60248456848177,0.7478921798910942,0.8963381572177939,0.969851851851851,0.9568705832922572,0.978125,30.117164909906784,858,15,2,3,0.1875,0.2437552454949642,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
859,140.02969821987534,102.1520843717716,316.60248456848177,0.7454514357031604,0.8934352400233764,0.969703703703703,0.9568705832922572,0.9779296875,30.0233275495962,859,15,2,3,0.1875,0.22531650790820534,6.714862782132428,6.199281344714926,4.551210252215359,41.627323577594126
