mirror_id,x_m,y_m,radius_to_tower_m,average_optical_efficiency,average_cosine_efficiency,average_shadow_blocking_efficiency,average_atmospheric_efficiency,average_truncation_efficiency,average_output_power_kw
415,45.373,-169.335,175.30844632817895,0.5561412102655264,0.6260639819606306,1.0,0.971211046623553,0.9944661458333334,20.94189095450002
416,57.901,-165.471,175.30880651581654,0.5590847513057463,0.6294755848827817,1.0,0.9712110107012175,0.9942708333333333,21.048451507228588
417,70.105,-160.681,175.3085702012312,0.5625456372067725,0.6337302272076748,0.9992592592592592,0.9712110342694107,0.9944010416666667,21.176544833731903
418,81.916,-154.993,175.30847413915848,0.5653363031524887,0.6388174396641674,0.9952592592592592,0.9712110438499,0.9953776041666667,21.289201764855314
419,93.27,-148.438,175.308678461735,0.5652220164465779,0.6447238520536372,0.9867407407407409,0.971211023472343,0.9951822916666667,21.30590026315178
420,104.102,-141.053,175.3087995880412,0.56421487351909,0.6514288950327914,0.9767407407407408,0.9712110113921407,0.9953776041666667,21.277230481589807
421,114.352,-132.879,175.30889465454968,0.5640968425731433,0.6589049294313912,0.9668888888888888,0.9712110019109373,0.9953125,21.29884723219744
422,123.962,-123.962,175.3087416188936,0.5669983184005453,0.6671147067270862,0.961037037037037,0.9712110171735361,0.995703125,21.412837960654606
423,132.879,-114.352,175.30889465454968,0.5735772001078904,0.6760112895147362,0.9603703703703704,0.9712110019109373,0.9954427083333334,21.645084013720805
424,141.053,-104.102,175.3087995880412,0.5823746174679818,0.6855387870684935,0.9620740740740741,0.9712110113921407,0.9955078125,21.950020067964495
425,148.438,-93.27,175.308678461735,0.5954869428314763,0.6956312468054588,0.9677777777777777,0.971211023472343,0.9964192708333334,22.410439186696166
426,154.993,-81.916,175.30847413915848,0.6091054838147263,0.7062168641950937,0.9742222222222221,0.9712110438499,0.9953776041666667,22.890339695206087
427,160.681,-70.105,175.3085702012312,0.6250587541621602,0.7172168927757258,0.9816296296296299,0.9712110342694107,0.9964192708333334,23.446272939129877
428,165.471,-57.901,175.30880651581654,0.6404633281724806,0.7285531205559957,0.988074074074074,0.9712110107012175,0.9973958333333334,23.987367018157855
429,169.335,-45.373,175.30844632817895,0.6539344125516063,0.7401439167162474,0.9923703703703703,0.971211046623553,0.9973307291666667,24.470775408772813
430,172.252,-32.592,175.30827124810742,0.6669093124569587,0.7519076507396728,0.9957777777777778,0.9712110640846859,0.9971354166666667,24.938988514644045
431,174.206,-19.628,175.30826797387508,0.6800175828261547,0.763766692012494,0.9990370370370371,0.9712110644112342,0.9973958333333334,25.410360934904197
432,175.186,-6.555,175.30859254754174,0.6897660510504409,0.7756430369467525,0.9977777777777778,0.9712110320407631,0.9975260416666667,25.769841202427283
433,188.39,12.348,188.79424038884235,0.6923120067590186,0.7864730328505285,0.991111111111111,0.969860416710183,0.9962890625,25.853243230303143
434,187.179,24.643,188.79421466242022,0.6889510479526645,0.7968718887643125,0.9754814814814813,0.9698604192964807,0.9966145833333333,25.717185831005217
435,185.166,36.832,188.7936539717371,0.6713451634005762,0.8071046940266836,0.939037037037037,0.9698604756631538,0.9967447916666666,25.096265130524444
